timestamp,1. open,2. high,3. low,4. close,5. volume
2024-11-13 19:55:00,224.8000,224.9600,224.7299,224.7300,2871
2024-11-13 19:50:00,224.9600,225.0000,224.7500,224.9600,925
2024-11-13 19:45:00,224.8200,225.0500,224.8000,224.8750,8827
2024-11-13 19:40:00,224.9000,224.9100,224.7700,224.8600,649
2024-11-13 19:35:00,224.9898,224.9900,224.8300,224.9000,1538
2024-11-13 19:30:00,224.9300,224.9993,224.9100,224.9300,988
2024-11-13 19:25:00,224.9000,224.9550,224.7500,224.9550,827
2024-11-13 19:20:00,224.8500,224.9400,224.7500,224.8250,417
2024-11-13 19:15:00,224.9100,224.9900,224.7500,224.7500,869
2024-11-13 19:10:00,224.9300,224.9900,224.9000,224.9000,2567
2024-11-13 19:05:00,224.9350,225.0500,223.2520,224.9490,1359
2024-11-13 19:00:00,224.9000,224.9700,224.9000,224.9350,545
2024-11-13 18:55:00,224.9800,225.0500,224.9000,224.9350,855
2024-11-13 18:50:00,225.0000,225.0500,224.9500,224.9800,434
2024-11-13 18:45:00,225.0550,225.0900,225.0000,225.0000,2956
2024-11-13 18:40:00,225.0350,225.1500,225.0000,225.0500,1123
2024-11-13 18:35:00,225.0200,225.0500,224.9500,225.0350,3166
2024-11-13 18:30:00,225.0550,225.0700,224.9500,225.0400,392
2024-11-13 18:25:00,225.0000,225.0700,224.9500,225.0700,464
2024-11-13 18:20:00,224.9900,225.0700,224.9000,224.9900,2778
2024-11-13 18:15:00,225.0550,225.1400,224.8000,224.9800,2940
2024-11-13 18:10:00,225.1500,225.1500,225.0100,225.0750,2673
2024-11-13 18:05:00,225.0900,225.1500,225.0200,225.0850,987
2024-11-13 18:00:00,225.1050,225.1500,225.0400,225.0900,761
2024-11-13 17:55:00,225.1600,225.2500,225.0500,225.1500,1185
2024-11-13 17:50:00,225.1400,226.0500,223.4100,225.1850,4443
2024-11-13 17:45:00,225.1400,225.2000,225.1200,225.1500,3029
2024-11-13 17:40:00,225.1500,225.2500,225.1200,225.1400,577
2024-11-13 17:35:00,225.1700,225.2700,225.1200,225.1500,1187
2024-11-13 17:30:00,225.1850,225.2700,225.1500,225.2100,570
2024-11-13 17:25:00,225.1750,225.2200,225.1300,225.1850,986
2024-11-13 17:20:00,225.2200,225.2400,225.1200,225.1500,1425
2024-11-13 17:15:00,225.1300,225.2700,225.1200,225.2200,772
2024-11-13 17:10:00,225.1200,225.2800,225.1200,225.1400,468
2024-11-13 17:05:00,225.2850,225.3400,211.1001,225.2000,917
2024-11-13 17:00:00,225.3150,225.3500,211.1001,225.2200,1510
2024-11-13 16:55:00,225.3168,225.3500,211.1001,225.3150,29816
2024-11-13 16:50:00,225.3450,225.4000,225.1200,225.3000,2234
2024-11-13 16:45:00,225.4700,225.5000,225.1200,225.3400,621992
2024-11-13 16:40:00,225.4400,225.5300,225.1200,225.5100,147854
2024-11-13 16:35:00,225.3350,225.5000,225.3000,225.4900,4929
2024-11-13 16:30:00,225.2500,225.4000,225.2500,225.3500,3466
2024-11-13 16:25:00,225.1600,225.3300,225.1500,225.2500,3849
2024-11-13 16:20:00,225.2800,225.3000,225.1200,225.1750,4888
2024-11-13 16:15:00,225.3200,225.3300,225.1200,225.3000,5841
2024-11-13 16:10:00,225.1550,225.3300,225.0600,225.3295,303550
2024-11-13 16:05:00,225.2600,225.3600,225.0300,225.1550,525199
2024-11-13 16:00:00,225.2200,225.3850,224.7100,225.2600,23666903
2024-11-13 15:55:00,224.9000,225.3300,224.4200,225.2200,2801351
2024-11-13 15:50:00,225.8700,225.8700,224.7900,224.9000,988950
2024-11-13 15:45:00,225.8100,225.9300,225.7300,225.8800,401951
2024-11-13 15:40:00,225.7501,225.8300,225.6900,225.8200,246894
2024-11-13 15:35:00,225.6300,225.8600,225.6200,225.7600,225078
2024-11-13 15:30:00,225.3800,225.6924,225.2150,225.6400,421595
2024-11-13 15:25:00,225.4750,225.6000,225.3500,225.3702,245861
2024-11-13 15:20:00,225.6450,225.7300,225.4000,225.4700,219202
2024-11-13 15:15:00,225.6400,225.7100,225.5600,225.6400,291778
2024-11-13 15:10:00,225.3300,225.7199,225.3221,225.6500,260373
